Timestamp,I have an opportunity to contribute to decisions that affect me.,I am able to openly and honestly communicate my views.,How likely is it that you would recommend this department as an employer to a friend or colleague?,I feel comfortable expressing my concerns/constructive criticisms to my department.,I know what is expected of me at work.,My performance on the job is evaluated fairly.,My department gives me regular feedback on my performance.,My department encourages/supports me in meeting my annual goals.,My department understands my job problems and needs.,My department recognizes my potential well. ,"My department encourages new ideas, processes, and ways to do my job.",I feel supported in my professional development and growth.,My department holds employees accountable for their performance.,"In my department, there is a strong sense of community building. ",I have an effective working relationship with my department.,I feel valued in the classroom/department/learning environment. ,The faculty and staff in the department respect what students think. ,Faculty in the department are genuinely concerned about my welfare. ,Staff in the department are genuinely concerned about my welfare. ,I feel close to people in the department. ,I am comfortable identifying gender/sexual orientation/race/disability discrimination.,The faculty and staff at this department treat students fairly.,I feel safe on this campus.,"I know where to go for help, if needed (e.g. Food Pantry, Title IX Office, Student Disability Resource Center (SDRC), Office of Diversity, Equity and Inclusion, Counseling and Psychological Services (CAPS), Case Management, Student Health Services, The WELL, etc.).",I know how to report misconduct.,"I feel comfortable reporting misconduct, if needed.",Department leadership handles student incidents and reported student challenges in a fair and responsible manner.,"If a crisis happened on campus, the department would handle it well.",The department responds in a timely manner to difficult situations.,The department does enough to protect the safety of students.,The department consults with other campus resource offices to appropriately guide students with their needs.,The department enforces accountability for reported unprofessional faculty conduct.,The faculty in my department recognize inappropriate statements and behavior that perpetuate systemic inequities and forms of discrimination.,There are other faculty I can go to for help beyond the faculty graduate/undergraduate advisor.,My faculty graduate/undergraduate advisor can address all student needs on their own.,My faculty graduate/undergraduate advisor responds to my needs in a timely manner.,There is a strong sense of a graduate/undergraduate student community and peer support in this department.,The faculty in the department foster a strong sense of intellectual community for the whole.,My department members have a clear understanding of what equity and inclusion entail.,"In my department, there are sufficient efforts towards fostering diversity, equity, and inclusion within departmental practices (recruiting, hiring, policy, research, etc.) ",My department has a strong commitment to ensuring a healthy climate and psychological safety for academic success.,I feel valued as an individual in my department. ,I am treated with respect in my department., I feel my opinions are valued within my department.,My experience in this department has had a positive influence on my professional growth.,"I am valued in my department for my contributions (e.g. teaching, research/scholarship/creativity, service contributions, mentoring of students, mentoring of faculty).",What is your role in the Department of Statistics?,There are fair and equitable processes for determining compensation/advancement in my department. ,Support is provided fairly and equitably in my department. ,Rewards for work performance are fairly and equitably distributed in my department.,I have experienced microaggressions and/or microinvalidations by colleagues in my department with regard to departmental service.,I feel supported in my statistics classes.,I feel comfortable reaching out to my advisor about opportunities related to my major/tips on succeeding.,I can successfully register for classes that are needed for my major and major concentration based on class availability.,I am comfortable reaching out to my instructors for questions.,Exams given by my instructors in the department are fair and effective at testing my knowledge of the material.,I feel that my instructors evaluate me unbiasedly.,"I am treated fairly by my fellow students, TAs, and instructors.","I am provided the academic resources to help me succeed at UCR (e.g. Information Technology Solutions (ITS), Academic Resource Center (ARC) Library, etc.).",I feel that I am informed of any policy or instructional changes within UCR.,My TAs are available to me if I have any questions from class.,I am comfortable intervening or responding to incidents of gender/sexual orientation/race/disability discrimination.,My department is committed to forms of active gender/sexual orientation/race/disability anti-discrimination.,I understand my individual responsibility to antiracism and inclusion.,"I have a clear understanding of implicit bias and microaggressions (as they pertain to race, culture, sexual orientation, gender, disability, etc.)","In my department, forms of active gender/sexual orientation/race/disability anti-discrimination should look like.... ",Is there a particular event or circumstances that has had (or is having) a significant effect on your perception of the department climate?  Please describe.,What is your gender?,What is your ethnicity?,Please provide any other comments or feedback you would like to share.,"By agreeing to the above notice, you consent to the use of your data.","In my department, there are sufficient efforts towards ensuring equitable distribution of departmental duties (e.g. for faculty - teaching and service, for staff - workload/tasks).",My staff graduate/undergraduate advisor can address all student needs on their own.,My staff graduate/undergraduate advisor responds to my needs in a timely manner.
3/31/2022 21:49,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Agree,,,,,,5,,5,,,,,,,,,,,,,,,,Neutral,Neutral,Neutral,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Faculty or Staff,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,,,,,,,,,5,,Strongly disagree,4,4,5,Inclusive attitudes,No,Male,White,,I agree.,Strongly agree,,
3/31/2022 22:40,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,4,NA,4,Agree,Agree,Agree,NA,NA,NA,NA,NA,NA,NA,Agree,Neutral,Agree,NA,NA,,,,,,,,,STAT major,,,,,NA,Agree,Disagree,Agree,Agree,Agree,Agree,NA,3,Agree,Neutral,3,4,2,,,Male,White,,I agree.,,NA,NA
3/31/2022 22:42,,,,,,,,,,,,,,,,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,4,Strongly agree,3,Strongly agree,Agree,Agree,NA,NA,NA,NA,Agree,NA,Agree,Agree,Agree,Agree,Agree,Agree,,,,,,,,,STAT major,,,,,Strongly agree,Neutral,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,3,Strongly agree,Agree,3,5,5,"equal opportunity to succeed in class, on tests, etc. ",in-person HiSS meetings were a great way to meet people in my major before the pandemic. ,Female,White,"For the situations I marked NA, I am not aware of the department handling any of these cases so I don't know if they were effective or not. ",I agree.,,Agree,Agree
4/1/2022 0:22,,,,,,,,,,,,,,,,Agree,Agree,Neutral,Neutral,Neutral,3,Neutral,4,Agree,Neutral,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,,,,,,,,,Data Science major (BCOE),,,,,Neutral,Neutral,Agree,Neutral,Disagree,Neutral,Agree,Agree,3,Agree,Disagree,3,3,3,,,Male,Asian,,I agree.,,Agree,Neutral
4/1/2022 8:56,Strongly agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,,,,,,4,,4,,,,,,,,,,,,,,,,Neutral,Neutral,Agree,Agree,Strongly agree,Agree,Agree,Agree,Faculty or Staff,NA,Neutral,NA,Strongly disagree,,,,,,,,,2,,Agree,3,5,5,"concrete actions to recruit diverse faculty and students,  more competitive fellowship packages for domestic students, esp those from groups underrepresented in statistics, specific DEI training for department staff, faculty, grad, and undergrad students",no,Female,White,,I agree.,Agree,,
4/1/2022 10:21,,,,,,,,,,,,,,,,Agree,Agree,Agree,Agree,Agree,5,Agree,4,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,,,,,,,,,Data Science major (CNAS),,,,,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,4,Agree,Agree,4,4,4,,,Female,Asian,,I agree.,,Agree,Agree
4/1/2022 13:53,,,,,,,,,,,,,,,,Strongly agree,Strongly agree,Agree,Agree,Agree,3,Strongly agree,5,Neutral,Agree,Agree,NA,Strongly agree,Agree,Strongly agree,NA,Agree,Agree,Neutral,Agree,Agree,Agree,Strongly agree,,,,,,,,,STAT Graduate student,,,,,Strongly agree,Neutral,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,4,NA,Disagree,5,3,3,I'm not sure,No,Male,White,,I agree.,,Agree,Agree
4/1/2022 14:15,,,,,,,,,,,,,,,,Neutral,Agree,Neutral,Neutral,Neutral,2,Neutral,4,Disagree,Disagree,Agree,Neutral,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Agree,Neutral,Agree,,,,,,,,,STAT Graduate student,,,,,Neutral,Neutral,Strongly agree,Agree,Neutral,Neutral,Agree,Agree,5,Agree,Disagree,4,4,3,Students speaking up and reporting issues when they see other students face discrimination. ,I think the lack of interactions among faculty and students suggests the department is not as invested in the students. ,Male,Asian,,I agree.,,Neutral,Neutral
4/1/2022 14:56,,,,,,,,,,,,,,,,Strongly agree,Neutral,Agree,Agree,Neutral,5,Strongly agree,5,Agree,Disagree,Strongly agree,Agree,Agree,Agree,Agree,Strongly agree,NA,NA,Agree,Neutral,Agree,Agree,Neutral,,,,,,,,,Data Science major (BCOE),,,,,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Neutral,3,Neutral,NA,4,5,5,,,Male,White,,I agree.,,Neutral,Agree
4/1/2022 16:03,,,,,,,,,,,,,,,,Neutral,Disagree,Agree,Neutral,Strongly disagree,5,Agree,5,Strongly agree,Disagree,Disagree,Agree,Strongly disagree,Neutral,Disagree,Agree,Neutral,Agree,Strongly agree,Disagree,Neutral,Disagree,Strongly agree,,,,,,,,,STAT major,,,,,Disagree,Agree,Strongly agree,Agree,Agree,Neutral,Disagree,Strongly disagree,4,Strongly agree,Neutral,2,3,4,,,Male,Asian,,I agree.,,Agree,Agree
4/1/2022 16:30,,,,,,,,,,,,,,,,Agree,Neutral,Agree,Agree,Neutral,3,Agree,4,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Agree,Agree,Agree,Agree,,,,,,,,,Data Science major (BCOE),,,,,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,3,Neutral,Agree,3,5,4,"Not participating in any normalized behavior of isolating, demeaning, or threatening any body else in any setting.",No,Male,Hispanic or Latino,Most questions I answered neutral Are because I do not have the experience to give a better answer.,I agree.,,Neutral,Disagree
4/3/2022 11:32,,,,,,,,,,,,,,,,Neutral,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,5,Strongly disagree,4,Disagree,Disagree,Agree,Strongly disagree,Disagree,Disagree,Neutral,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,Disagree,Strongly disagree,Strongly disagree,,,,,,,,,Data Science major (BCOE),,,,,Strongly disagree,Strongly disagree,Neutral,Neutral,NA,NA,Neutral,Neutral,3,Neutral,Neutral,2,5,4,I feel like academic advisors should be more supportive and patient with students with disabilities.,"Yes, Iâ€™ve always felt like I was being ignored and not listened to by my academic advisors.",Female,Asian,,I agree.,,NA,Neutral
4/4/2022 21:40,,,,,,,,,,,,,,,,Agree,Neutral,Neutral,Agree,Neutral,3,Agree,4,Neutral,Neutral,Neutral,Neutral,Strongly disagree,Neutral,Neutral,Strongly disagree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Disagree,,,,,,,,,STAT Graduate student,,,,,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,2,NA,Agree,1,5,3,Statistics faculty involvement,Lack of diversity among faculty,Male,Hispanic or Latino,,I agree.,,Neutral,Neutral
4/5/2022 20:02,,,,,,,,,,,,,,,,Agree,Agree,Agree,Agree,Neutral,4,Agree,4,Strongly agree,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Disagree,Neutral,Agree,Agree,,,,,,,,,STAT major,,,,,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,3,Agree,Neutral,3,5,5,,,Female,Asian,,I agree.,,Agree,Neutral
4/5/2022 20:29,,,,,,,,,,,,,,,,Neutral,Neutral,Neutral,Agree,Neutral,3,Neutral,3,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Neutral,,,,,,,,,STAT major,,,,,Agree,Neutral,Neutral,Strongly agree,Strongly agree,Agree,Strongly agree,Neutral,3,Strongly agree,Neutral,3,3,3,,,Female,Asian,,I agree.,,Agree,Agree
4/6/2022 15:22,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Neutral,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,,,,,,5,,5,,,,,,,,,,,,,,,,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Faculty or Staff,Neutral,Strongly agree,Agree,Neutral,,,,,,,,,5,,Strongly Agree,5,5,5,,no,Female,Hispanic or Latino,,I agree.,Agree,,
4/7/2022 20:47,,,,,,,,,,,,,,,,Strongly agree,Strongly agree,Neutral,Agree,Agree,5,Strongly agree,5,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Neutral,Agree,Strongly agree,Strongly agree,,,,,,,,,Data Science major (CNAS),,,,,NA,Strongly agree,Strongly agree,Strongly agree,NA,NA,Strongly agree,Strongly agree,2,NA,Strongly Agree,5,5,5,,,Male,"Asian, White",,I agree.,,Agree,Strongly agree
4/11/2022 11:21,,,,,,,,,,,,,,,,Neutral,Neutral,Agree,Agree,Disagree,3,Neutral,4,Agree,Neutral,Neutral,Agree,Agree,Agree,Disagree,Agree,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,,,,,,,,,STAT major,,,,,Agree,Agree,Strongly agree,Agree,Neutral,Strongly agree,Agree,Agree,3,Agree,Neutral,3,3,3,,,Male,Black or African American,,I agree.,,NA,NA
4/11/2022 11:27,,,,,,,,,,,,,,,,Agree,Agree,Neutral,Agree,Neutral,4,Agree,4,Strongly agree,Agree,Agree,Neutral,Neutral,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,,,,,,,,,STAT major,,,,,Agree,Disagree,Neutral,Agree,Agree,Agree,Agree,Agree,4,Agree,Agree,5,5,5,Reporting any inappropriate behavior and acting responsibly.,,Female,Asian,,I agree.,,Neutral,Neutral
4/11/2022 12:24,,,,,,,,,,,,,,,,Neutral,Neutral,Disagree,Disagree,Disagree,3,Neutral,4,Disagree,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Neutral,Neutral,Neutral,Agree,Disagree,Neutral,,,,,,,,,STAT major,,,,,Neutral,Neutral,Strongly agree,Agree,Disagree,Neutral,Neutral,Neutral,4,Neutral,Agree,3,3,4,"Fairness between both genders, race should not be affiliated with our ability to learn and disabilities should be taken into consideration in terms of learning techniques. ",No ,Female,Asian,,I agree.,,Neutral,Neutral
4/11/2022 12:36,,,,,,,,,,,,,,,,Agree,Agree,Agree,NA,Neutral,5,Agree,5,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,,,,,,,,,STAT major,,,,,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,5,Agree,Agree,4,5,5,,,Female,Asian,,I agree.,,Agree,Agree
4/11/2022 12:40,,,,,,,,,,,,,,,,Agree,Agree,Neutral,Neutral,Neutral,5,Agree,5,Agree,Neutral,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,,,,,,,,,STAT major,,,,,Neutral,Agree,Strongly agree,Agree,Neutral,Agree,Agree,Agree,4,Agree,Neutral,4,4,3,,,Male,Asian,,I agree.,,Agree,Agree
4/11/2022 12:42,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Strongly agree,,,,,,2,,4,,,,,,,,,,,,,,,,Agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Strongly agree,Faculty or Staff,Agree,Agree,Agree,Disagree,,,,,,,,,4,,Disagree,4,3,3,,,Female,Asian,,I agree.,Agree,,
4/11/2022 12:44,,,,,,,,,,,,,,,,Strongly agree,Agree,Agree,Agree,Neutral,5,Agree,4,Disagree,Disagree,Agree,Neutral,Neutral,Neutral,Neutral,Disagree,Agree,Agree,Agree,Strongly disagree,Strongly disagree,Disagree,Agree,,,,,,,,,STAT major,,,,,Agree,Agree,Strongly disagree,Agree,Neutral,Agree,Strongly agree,Agree,2,Strongly agree,Agree,3,4,2,Signs or posters to bring awareness ,No,Male,Hispanic or Latino,,I agree.,,Strongly disagree,Strongly disagree
4/11/2022 12:45,,,,,,,,,,,,,,,,Agree,Strongly agree,Agree,Agree,Neutral,2,Agree,3,Agree,Disagree,Disagree,Agree,NA,NA,Agree,Agree,NA,Agree,Agree,Agree,Agree,Agree,Agree,,,,,,,,,STAT major,,,,,Strongly agree,Strongly agree,Disagree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,3,Strongly agree,Neutral,4,4,5,,,Female,Asian,,I agree.,,Agree,Agree
4/11/2022 13:01,,,,,,,,,,,,,,,,Agree,Agree,Neutral,Neutral,Neutral,4,Agree,5,Neutral,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,,,,,,,,,STAT major,,,,,Agree,Neutral,Agree,Strongly agree,Neutral,Agree,Agree,Neutral,5,Agree,Neutral,3,4,3,not sure,no,Male,Asian,,I agree.,,Neutral,Neutral
4/11/2022 13:16,,,,,,,,,,,,,,,,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,5,Strongly disagree,5,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,,,,,,,,,STAT major,,,,,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,5,Strongly disagree,Strongly disagree,5,5,5,A normal things,N/A,Male,Asian,I think our campus is a very safe area.,I agree.,,Strongly disagree,Strongly disagree
4/11/2022 13:18,,,,,,,,,,,,,,,,Neutral,Agree,Neutral,Neutral,Disagree,5,Neutral,5,Disagree,Agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,,,,,,,,,Data Science major (BCOE),,,,,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,3,Strongly agree,Strongly Agree,5,5,5,"support to all, and openly addressing issues.",No,Male,Asian,,I agree.,,Neutral,Strongly agree
4/11/2022 14:21,,,,,,,,,,,,,,,,Agree,Agree,Agree,Neutral,Agree,5,Strongly agree,4,Disagree,Disagree,Disagree,Agree,Agree,Neutral,Agree,NA,Agree,Agree,Neutral,NA,Agree,Agree,Strongly agree,,,,,,,,,STAT Graduate student,,,,,Neutral,Neutral,Neutral,Neutral,Strongly agree,Agree,Strongly agree,Agree,4,Agree,Neutral,4,5,5,open conversations about discrimination; workshops on how to report discrimination,The result of online classes/colloquiums due to the pandemic,Male,"Asian, White",,I agree.,,Agree,Neutral
4/11/2022 14:48,,,,,,,,,,,,,,,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,4,Strongly agree,5,Neutral,Disagree,Agree,NA,Agree,Neutral,Strongly agree,Agree,Agree,Strongly agree,Neutral,Disagree,Disagree,Agree,Agree,,,,,,,,,STAT major,,,,,Strongly agree,Agree,Disagree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,3,Strongly agree,Neutral,5,5,4,,,Male,Asian,,I agree.,,Disagree,Disagree
4/11/2022 15:02,,,,,,,,,,,,,,,,Agree,Agree,Agree,Agree,Agree,5,Agree,3,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,,,,,,,,,Data Science major (BCOE),,,,,NA,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,4,Neutral,Neutral,3,3,3,,,Female,Asian,,I agree.,,Neutral,Neutral
4/11/2022 15:19,,,,,,,,,,,,,,,,Agree,Agree,Neutral,Neutral,Agree,3,Agree,4,Agree,Neutral,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Agree,Neutral,Agree,Neutral,,,,,,,,,Data Science major (BCOE),,,,,NA,Neutral,Agree,Agree,Disagree,Neutral,Agree,Neutral,3,Agree,Neutral,3,4,3,,,Male,Asian,,I agree.,,Agree,Neutral
4/11/2022 15:53,,,,,,,,,,,,,,,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,5,Strongly agree,5,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,,,,,,,,STAT Graduate student,,,,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,5,Strongly agree,Strongly Agree,5,5,5,,,Male,Asian,,I agree.,,Strongly agree,Strongly agree
4/11/2022 17:10,,,,,,,,,,,,,,,,Agree,Agree,Agree,Agree,Neutral,4,Strongly agree,4,Agree,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,,,,,,,,,STAT Graduate student,,,,,Agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,5,NA,Neutral,4,4,4,,,Female,Asian,,I agree.,,Agree,Agree
4/12/2022 15:15,Neutral,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Neutral,Agree,Agree,Neutral,Agree,,,,,,4,,4,,,,,,,,,,,,,,,,Neutral,Neutral,Agree,Agree,Strongly agree,Agree,Agree,Agree,Faculty or Staff,Strongly agree,Agree,Agree,Disagree,,,,,,,,,3,,Agree,5,5,4,,,Female,White,,I agree.,Neutral,,
4/12/2022 22:29,,,,,,,,,,,,,,,,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,5,Strongly agree,5,Agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,,,,,,,,,Data Science major (BCOE),,,,,Agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,4,Strongly agree,Agree,4,5,4,not judging someone based on who they are,,Male,White,,I agree.,,Agree,Agree
4/13/2022 9:50,,,,,,,,,,,,,,,,Agree,Agree,Agree,Neutral,Neutral,5,Agree,5,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Strongly disagree,Strongly disagree,Neutral,Agree,,,,,,,,,STAT major,,,,,Agree,Strongly disagree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,4,Strongly agree,Agree,3,3,3,,None,Male,Hispanic or Latino,"Javier isn't a very good advisor. Also, I appreciate the classes that have homework word problems simulating the real world since it shows the applications of what I am studying. ",I agree.,,Strongly disagree,Strongly disagree
4/13/2022 21:50,,,,,,,,,,,,,,,,Agree,Agree,Agree,Agree,Neutral,5,Agree,4,Agree,Agree,Strongly agree,Agree,Agree,NA,NA,NA,NA,NA,Agree,NA,Agree,Neutral,Agree,,,,,,,,,STAT major,,,,,Agree,Agree,Strongly agree,Agree,Strongly agree,Agree,Agree,Neutral,3,Agree,Agree,5,5,5,,Not that I know of,Male,White,"It's not entirely related, but I wish we would take a more mathematically rigorous approach to at least the 160 series. I think that perhaps making MATH 10B a prerequisite (or a co-requisite with 160A) would be a good idea, and would result in students having less trouble with the material. Double integration isn't covered in 10A, so I think a reason why students tend to struggle with 160B in particular is that they aren't comfortable enough with it due to having had to teach themselves how to do it for 160A (although I got an A in 160B, I can still say from experience that - at least for me - this was the case). Though it's literally the first topic of 10B, and the only thing that's needed for the 160 series from that class, I think it's a good idea to demand even that little bit more mathematical maturity.",I agree.,,NA,NA
4/15/2022 10:35,,,,,,,,,,,,,,,,Agree,Agree,Neutral,Neutral,Neutral,4,Agree,4,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,,,,,,,,,STAT major,,,,,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,4,Agree,Agree,4,3,3,,,Male,Asian,,I agree.,,Agree,Agree
4/15/2022 10:40,,,,,,,,,,,,,,,,Agree,Agree,Agree,Agree,Agree,3,Agree,4,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,,,,,,,,,STAT Graduate student,,,,,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,4,Agree,Neutral,4,4,4,,,Female,Asian,,I agree.,,Agree,Agree
4/15/2022 12:46,,,,,,,,,,,,,,,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,5,Agree,5,Agree,Neutral,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,,,,,,,,STAT major,,,,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,5,Strongly agree,Strongly Agree,5,5,5,,,Male,Asian,,I agree.,,Strongly agree,Strongly agree
4/15/2022 12:46,,,,,,,,,,,,,,,,Agree,Strongly agree,NA,NA,Neutral,3,Strongly agree,4,Strongly agree,Agree,Agree,NA,NA,NA,Agree,Agree,NA,Agree,Agree,Neutral,Neutral,Neutral,Agree,,,,,,,,,STAT major,,,,,Strongly agree,Neutral,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,3,Strongly agree,Neutral,4,5,4,,,Female,Asian,,I agree.,,Neutral,Disagree
4/15/2022 13:06,,,,,,,,,,,,,,,,Neutral,Agree,Agree,Agree,Neutral,4,Agree,4,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,,,,,,,,,Data Science major (BCOE),,,,,Agree,Neutral,Agree,Neutral,Neutral,Agree,Agree,Neutral,3,Neutral,Neutral,5,4,4,,,Male,Asian,,I agree.,,Agree,Agree
4/15/2022 14:46,,,,,,,,,,,,,,,,Agree,Agree,Agree,Neutral,Neutral,4,Agree,4,Agree,Agree,Neutral,Agree,Neutral,Agree,Neutral,Neutral,Neutral,Agree,Neutral,NA,NA,Neutral,Agree,,,,,,,,,STAT Graduate student,,,,,Agree,NA,Agree,Agree,Agree,Agree,Agree,Agree,4,Agree,Neutral,4,4,4,,,Male,Asian,I have no graduate advisor yet.,I agree.,,NA,NA
4/16/2022 9:35,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,,,,,,4,,4,,,,,,,,,,,,,,,,Agree,Neutral,Agree,Agree,Strongly agree,Agree,Agree,Agree,Faculty or Staff,Agree,Agree,Agree,NA,,,,,,,,,4,,Agree,5,5,4,everyone is comfortable no matter his/her gender/sexual orientation/race/disability,,Female,Asian,,I agree.,Neutral,,
4/18/2022 12:02,,,,,,,,,,,,,,,,Neutral,Agree,Neutral,Neutral,Disagree,5,Agree,5,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Strongly agree,Strongly agree,Agree,,,,,,,,,Data Science major (BCOE),,,,,Agree,Agree,Neutral,Agree,Neutral,Disagree,Neutral,Agree,5,Agree,Agree,5,5,5,Being hyper aware of any potential forms of discrimination,N/A,Male,Asian,,I agree.,,Agree,Neutral
